"","country","the_1990","the_2010","log_the_1990","log_the_2010","le_1990","le_2010","hale_1990","hale_2010","yld_1990","yld_2010"
"1","AUT",2253.5,4711.2,7.7202398421307,8.45769793163036,28.674,32.382,22.861,25.354,5.813,7.028
"2","BEL",1708.9,3994.1,7.44360516765286,8.29257355121866,28.829,31.522,22.787,24.803,6.042,6.719
"3","BGR",290.2,1053.1,5.67057034045009,6.95949347438655,25.561,26.661,20.43,21.209,5.131,5.452
"4","CYP",722.8,2221.7,6.58313255871807,7.70602794758308,30.535,31.832,24.054,24.959,6.481,6.873
"5","CZE",895.1,1882.6,6.79693544387689,7.54040907911312,24.945,29.404,19.829,23.268,5.116,6.136
"6","DEU",2274,4347.2,7.72929567431048,8.37728723867208,28.255,31.89,22.403,25.086,5.852,6.804
"7","DNK",1869.8,4505.7,7.53358675225722,8.41309854087964,27.965,30.629,22.236,24.068,5.729,6.561
"8","ESP",1189.4,3038.9,7.08120425727249,8.01925088681435,29.995,33.074,24.293,26.592,5.702,6.482
"9","EST",395.8,1268.8,5.98090903316847,7.14582685088058,25.355,28.921,20.297,22.919,5.058,6.002
"10","FIN",1475.9,3245.9,7.29702325218773,8.08514794045273,28.156,32.1,21.701,24.467,6.455,7.633
"11","FRA",2096.6,4026.6,7.64807226401847,8.30067762639225,30.207,32.996,23.96,26.01,6.247,6.986
"12","GBR",1346.1,3384,7.20496680165005,8.12681372072611,28.131,31.824,22.373,25.162,5.758,6.662
"13","GRC",1263.1,2584.6,7.14132429577993,7.85732603609109,29.527,31.459,23.372,24.874,6.155,6.585
"14","HRV",546,1461.7,6.30261897574491,7.28735542089525,25.891,28.862,20.258,22.645,5.633,6.217
"15","HUN",656.7,1653.9,6.48722729319693,7.41089141426375,24.257,27.25,19.09,21.317,5.167,5.933
"16","IRL",1189.2,3824.7,7.08103609112394,8.24923531181219,27.308,31.768,21.859,25.085,5.449,6.683
"17","ITA",1494.8,3025.7,7.30974769761133,8.01489774865362,29.564,33.083,23.551,26.141,6.013,6.942
"18","LTU",333.1,1282.9,5.80844274519963,7.15687841925529,26.472,28.042,20.892,22.145,5.58,5.897
"19","LUX",2179.4,6172.7,7.68680488854279,8.72789162247651,28.328,31.791,22.447,24.776,5.881,7.015
"20","LVA",315.7,1103.8,5.75479239556395,7.0065140510054,25.344,27.448,20.042,21.593,5.302,5.855
"21","MLT",875.5,2319.9,6.77479515172591,7.7492793602831,29.369,31.739,23.147,24.962,6.222,6.777
"22","NLD",1795.5,5040.6,7.49303881366614,8.52528040159886,29.313,32.091,23.277,25.281,6.036,6.81
"23","POL",405.8,1400.3,6.00586042739171,7.24444177836173,25.332,29,20.035,22.933,5.297,6.067
"24","PRT",1013.6,2758.3,6.92126362900693,7.92236982691199,28.195,31.487,22.442,25.014,5.753,6.473
"25","ROU",183.4,880.9,5.21166955982236,6.78094411211575,25.575,27.087,20.298,21.573,5.277,5.514
"26","SVK",503.8,2088.2,6.22217936391851,7.64405772985601,24.852,27.895,19.461,22.058,5.391,5.837
"27","SVN",969.4,2366.4,6.87667732341128,7.76912509195654,26.534,31.151,20.882,24.453,5.652,6.698
"28","SWE",1740.3,3731.5,7.46181279114013,8.22456557657144,29.963,32.804,23.648,25.721,6.315,7.083
